Sample in Buffer,Sample in Window,TRIGGER,cpu_test_i/PS_to_CPU_controller_0_enable_CPU,cpu_test_i/CPU_0_current_addr[15:0],cpu_test_i/PS_to_CPU_controller_0_CPU_done,cpu_test_i/bluex_0_ram_wr_data[31:0],cpu_test_i/blk_mem_gen_1_doutb[31:0],cpu_test_i/bluex_0_ram_en
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,fe18,0,00000000,00000000,0
1,1,0,1,fe19,0,00000000,00000000,0
2,2,0,1,fe1a,0,00000000,00000000,0
3,3,0,1,fe1b,0,00000000,00000000,0
4,4,0,1,fe1c,0,00000000,00000000,0
5,5,0,1,fe1d,0,00000000,00000000,0
6,6,0,1,fe1e,0,00000000,00000000,0
7,7,0,1,fe1f,0,00000000,00000000,0
8,8,0,1,fe20,0,00000000,00000000,0
9,9,0,1,fe21,0,00000000,00000000,0
10,10,0,1,fe22,0,00000000,00000000,0
11,11,0,1,fe23,0,00000000,00000000,0
12,12,0,1,fe24,0,00000000,00000000,0
13,13,0,1,fe25,0,00000000,00000000,0
14,14,0,1,fe26,0,00000000,00000000,0
15,15,0,1,fe27,0,00000000,00000000,0
16,16,0,1,fe28,0,00000000,00000000,0
17,17,0,1,fe29,0,00000000,00000000,0
18,18,0,1,fe2a,0,00000000,00000000,0
19,19,0,1,fe2b,0,00000000,00000000,0
20,20,0,1,fe2c,0,00000000,00000000,0
21,21,0,1,fe2d,0,00000000,00000000,0
22,22,0,1,fe2e,0,00000000,00000000,0
23,23,0,1,fe2f,0,00000000,00000000,0
24,24,0,1,fe30,0,00000000,00000000,0
25,25,0,1,fe31,0,00000000,00000000,0
26,26,0,1,fe32,0,00000000,00000000,0
27,27,0,1,fe33,0,00000000,00000000,0
28,28,0,1,fe34,0,00000000,00000000,0
29,29,0,1,fe35,0,00000000,00000000,0
30,30,0,1,fe36,0,00000000,00000000,0
31,31,0,1,fe37,0,00000000,00000000,0
32,32,0,1,fe38,0,00000000,00000000,0
33,33,0,1,fe39,0,00000000,00000000,0
34,34,0,1,fe3a,0,00000000,00000000,0
35,35,0,1,fe3b,0,00000000,00000000,0
36,36,0,1,fe3c,0,00000000,00000000,0
37,37,0,1,fe3d,0,00000000,00000000,0
38,38,0,1,fe3e,0,00000000,00000000,0
39,39,0,1,fe3f,0,00000000,00000000,0
40,40,0,1,fe40,0,00000000,00000000,0
41,41,0,1,fe41,0,00000000,00000000,0
42,42,0,1,fe42,0,00000000,00000000,0
43,43,0,1,fe43,0,00000000,00000000,0
44,44,0,1,fe44,0,00000000,00000000,0
45,45,0,1,fe45,0,00000000,00000000,0
46,46,0,1,fe46,0,00000000,00000000,0
47,47,0,1,fe47,0,00000000,00000000,0
48,48,0,1,fe48,0,00000000,00000000,0
49,49,0,1,fe49,0,00000000,00000000,0
50,50,0,1,fe4a,0,00000000,00000000,0
51,51,0,1,fe4b,0,00000000,00000000,0
52,52,0,1,fe4c,0,00000000,00000000,0
53,53,0,1,fe4d,0,00000000,00000000,0
54,54,0,1,fe4e,0,00000000,00000000,0
55,55,0,1,fe4f,0,00000000,00000000,0
56,56,0,1,fe50,0,00000000,00000000,0
57,57,0,1,fe51,0,00000000,00000000,0
58,58,0,1,fe52,0,00000000,00000000,0
59,59,0,1,fe53,0,00000000,00000000,0
60,60,0,1,fe54,0,00000000,00000000,0
61,61,0,1,fe55,0,00000000,00000000,0
62,62,0,1,fe56,0,00000000,00000000,0
63,63,0,1,fe57,0,00000000,00000000,0
64,64,0,1,fe58,0,00000000,00000000,0
65,65,0,1,fe59,0,00000000,00000000,0
66,66,0,1,fe5a,0,00000000,00000000,0
67,67,0,1,fe5b,0,00000000,00000000,0
68,68,0,1,fe5c,0,00000000,00000000,0
69,69,0,1,fe5d,0,00000000,00000000,0
70,70,0,1,fe5e,0,00000000,00000000,0
71,71,0,1,fe5f,0,00000000,00000000,0
72,72,0,1,fe60,0,00000000,00000000,0
73,73,0,1,fe61,0,00000000,00000000,0
74,74,0,1,fe62,0,00000000,00000000,0
75,75,0,1,fe63,0,00000000,00000000,0
76,76,0,1,fe64,0,00000000,00000000,0
77,77,0,1,fe65,0,00000000,00000000,0
78,78,0,1,fe66,0,00000000,00000000,0
79,79,0,1,fe67,0,00000000,00000000,0
80,80,0,1,fe68,0,00000000,00000000,0
81,81,0,1,fe69,0,00000000,00000000,0
82,82,0,1,fe6a,0,00000000,00000000,0
83,83,0,1,fe6b,0,00000000,00000000,0
84,84,0,1,fe6c,0,00000000,00000000,0
85,85,0,1,fe6d,0,00000000,00000000,0
86,86,0,1,fe6e,0,00000000,00000000,0
87,87,0,1,fe6f,0,00000000,00000000,0
88,88,0,1,fe70,0,00000000,00000000,0
89,89,0,1,fe71,0,00000000,00000000,0
90,90,0,1,fe72,0,00000000,00000000,0
91,91,0,1,fe73,0,00000000,00000000,0
